2025/10/29 21:17:35.956103 SERVER | STARTUP | ClientID:  | ChitChat server starting
2025/10/29 21:18:06.548274 CLIENT | MESSAGE_SENT | ClientID: Chris | Sent message at logical time 8: hello
2025/10/29 21:18:06.557536 CLIENT | MESSAGE_RECEIVED | ClientID: Chris | From Chris at logical time 9: hello
2025/10/29 21:18:09.732640 SERVER | MESSAGE_RECEIVED | ClientID: Jeppe | Valid message at logical time 12: oh hi
2025/10/29 21:18:09.732707 SERVER | MESSAGE_DELIVERY | ClientID: Jeppe | Delivered message to 2 clients at logical time 12
2025/10/29 21:18:09.732924 CLIENT | MESSAGE_RECEIVED | ClientID: Chris | From Jeppe at logical time 12: oh hi
2025/10/29 21:18:09.733177 CLIENT | MESSAGE_SENT | ClientID: Jeppe | Sent message at logical time 11: oh hi
2025/10/29 21:18:09.733387 CLIENT | MESSAGE_RECEIVED | ClientID: Jeppe | From Jeppe at logical time 12: oh hi
2025/10/29 21:18:12.227679 SERVER | MESSAGE_RECEIVED | ClientID: Jeppe | Valid message at logical time 15: nice to see you
2025/10/29 21:18:12.227766 SERVER | MESSAGE_DELIVERY | ClientID: Jeppe | Delivered message to 2 clients at logical time 15
2025/10/29 21:18:12.227914 CLIENT | MESSAGE_SENT | ClientID: Jeppe | Sent message at logical time 14: nice to see you
2025/10/29 21:18:12.227968 CLIENT | MESSAGE_RECEIVED | ClientID: Chris | From Jeppe at logical time 15: nice to see you
2025/10/29 21:18:12.227997 CLIENT | MESSAGE_RECEIVED | ClientID: Jeppe | From Jeppe at logical time 15: nice to see you
2025/10/29 21:18:20.530447 CLIENT | CONNECTION | ClientID: Sabina | Joining chat
2025/10/29 21:18:20.550465 CLIENT | CONNECTION | ClientID: Sabina | Successfully joined chat
2025/10/29 21:18:20.550706 SERVER | CONNECTION | ClientID: Sabina | Client connected at logical time 16
2025/10/29 21:18:20.550731 SERVER | BROADCAST_JOIN | ClientID: Sabina | Broadcasting join message to 3 clients
2025/10/29 21:18:20.550879 CLIENT | MESSAGE_RECEIVED | ClientID: Chris | From Sabina at logical time 16: Participant Sabina joined Chit Chat at logical time 16
2025/10/29 21:18:20.550906 CLIENT | MESSAGE_RECEIVED | ClientID: Jeppe | From Sabina at logical time 16: Participant Sabina joined Chit Chat at logical time 16
2025/10/29 21:18:20.551029 CLIENT | MESSAGE_RECEIVED | ClientID: Sabina | From Sabina at logical time 16: Participant Sabina joined Chit Chat at logical time 16
2025/10/29 21:18:24.416178 SERVER | MESSAGE_RECEIVED | ClientID: Sabina | Valid message at logical time 19: helloo :))
2025/10/29 21:18:24.416243 SERVER | MESSAGE_DELIVERY | ClientID: Sabina | Delivered message to 3 clients at logical time 19
2025/10/29 21:18:24.416370 CLIENT | MESSAGE_RECEIVED | ClientID: Jeppe | From Sabina at logical time 19: helloo :))
2025/10/29 21:18:24.416478 CLIENT | MESSAGE_RECEIVED | ClientID: Chris | From Sabina at logical time 19: helloo :))
2025/10/29 21:18:24.416478 CLIENT | MESSAGE_RECEIVED | ClientID: Sabina | From Sabina at logical time 19: helloo :))
2025/10/29 21:18:24.416622 CLIENT | MESSAGE_SENT | ClientID: Sabina | Sent message at logical time 18: helloo :))
2025/10/29 21:18:30.321113 SERVER | MESSAGE_RECEIVED | ClientID: Chris | Valid message at logical time 22: whats up?!
2025/10/29 21:18:30.321187 SERVER | MESSAGE_DELIVERY | ClientID: Chris | Delivered message to 3 clients at logical time 22
2025/10/29 21:18:30.321366 CLIENT | MESSAGE_RECEIVED | ClientID: Sabina | From Chris at logical time 22: whats up?!
2025/10/29 21:18:30.321553 CLIENT | MESSAGE_RECEIVED | ClientID: Chris | From Chris at logical time 22: whats up?!
2025/10/29 21:18:30.321603 CLIENT | MESSAGE_RECEIVED | ClientID: Jeppe | From Chris at logical time 22: whats up?!
2025/10/29 21:18:30.321637 CLIENT | MESSAGE_SENT | ClientID: Chris | Sent message at logical time 21: whats up?!
2025/10/29 21:18:33.888277 SERVER | MESSAGE_RECEIVED | ClientID: Chris | Valid message at logical time 25: so good to see you !
2025/10/29 21:18:33.888431 CLIENT | MESSAGE_RECEIVED | ClientID: Sabina | From Chris at logical time 25: so good to see you !
2025/10/29 21:18:33.888491 SERVER | MESSAGE_DELIVERY | ClientID: Chris | Delivered message to 3 clients at logical time 25
2025/10/29 21:18:33.888564 CLIENT | MESSAGE_RECEIVED | ClientID: Jeppe | From Chris at logical time 25: so good to see you !
2025/10/29 21:18:33.888722 CLIENT | MESSAGE_RECEIVED | ClientID: Chris | From Chris at logical time 25: so good to see you !
2025/10/29 21:18:33.888760 CLIENT | MESSAGE_SENT | ClientID: Chris | Sent message at logical time 24: so good to see you !
2025/10/29 21:18:42.944760 SERVER | MESSAGE_RECEIVED | ClientID: Jeppe | Valid message at logical time 28: ooo the gang back together
2025/10/29 21:18:42.944833 SERVER | MESSAGE_DELIVERY | ClientID: Jeppe | Delivered message to 3 clients at logical time 28
2025/10/29 21:18:42.945076 CLIENT | MESSAGE_SENT | ClientID: Jeppe | Sent message at logical time 27: ooo the gang back together
2025/10/29 21:18:42.945200 CLIENT | MESSAGE_RECEIVED | ClientID: Chris | From Jeppe at logical time 28: ooo the gang back together
2025/10/29 21:18:42.945372 CLIENT | MESSAGE_RECEIVED | ClientID: Sabina | From Jeppe at logical time 28: ooo the gang back together
2025/10/29 21:18:42.945555 CLIENT | MESSAGE_RECEIVED | ClientID: Jeppe | From Jeppe at logical time 28: ooo the gang back together
2025/10/29 21:18:49.242655 SERVER | MESSAGE_RECEIVED | ClientID: Jeppe | Valid message at logical time 31: gtg ttyl
2025/10/29 21:18:49.242722 SERVER | MESSAGE_DELIVERY | ClientID: Jeppe | Delivered message to 3 clients at logical time 31
2025/10/29 21:18:49.242866 CLIENT | MESSAGE_RECEIVED | ClientID: Sabina | From Jeppe at logical time 31: gtg ttyl
2025/10/29 21:18:49.242870 CLIENT | MESSAGE_RECEIVED | ClientID: Jeppe | From Jeppe at logical time 31: gtg ttyl
2025/10/29 21:18:49.242966 CLIENT | MESSAGE_SENT | ClientID: Jeppe | Sent message at logical time 30: gtg ttyl
2025/10/29 21:18:49.243106 CLIENT | MESSAGE_RECEIVED | ClientID: Chris | From Jeppe at logical time 31: gtg ttyl
2025/10/29 21:18:51.622320 SERVER | DISCONNECTION | ClientID: Jeppe | Client explicitly left at logical time 34
2025/10/29 21:18:51.622623 CLIENT | DISCONNECTION | ClientID: Jeppe | Leaving chat
2025/10/29 21:18:51.622641 CLIENT | MESSAGE_RECEIVED | ClientID: Sabina | From Jeppe at logical time 34: Participant Jeppe left Chit Chat at logical time 34
2025/10/29 21:18:51.622707 CLIENT | MESSAGE_RECEIVED | ClientID: Chris | From Jeppe at logical time 34: Participant Jeppe left Chit Chat at logical time 34
2025/10/29 21:18:51.624067 SERVER | DISCONNECTION | ClientID: Jeppe | Client stream closed
2025/10/29 21:19:00.030309 SERVER | MESSAGE_RECEIVED | ClientID: Chris | Valid message at logical time 37: alrighty then, good ngiht
2025/10/29 21:19:00.030397 SERVER | MESSAGE_DELIVERY | ClientID: Chris | Delivered message to 2 clients at logical time 37
2025/10/29 21:19:00.030613 CLIENT | MESSAGE_RECEIVED | ClientID: Chris | From Chris at logical time 37: alrighty then, good ngiht
2025/10/29 21:19:00.030662 CLIENT | MESSAGE_SENT | ClientID: Chris | Sent message at logical time 36: alrighty then, good ngiht
2025/10/29 21:19:00.030711 CLIENT | MESSAGE_RECEIVED | ClientID: Sabina | From Chris at logical time 37: alrighty then, good ngiht
2025/10/29 21:19:01.535911 SERVER | DISCONNECTION | ClientID: Chris | Client explicitly left at logical time 40
2025/10/29 21:19:01.536166 CLIENT | MESSAGE_RECEIVED | ClientID: Sabina | From Chris at logical time 40: Participant Chris left Chit Chat at logical time 40
2025/10/29 21:19:01.536256 CLIENT | DISCONNECTION | ClientID: Chris | Leaving chat
2025/10/29 21:19:01.537635 SERVER | DISCONNECTION | ClientID: Chris | Client stream closed
2025/10/29 21:19:06.970137 SERVER | MESSAGE_RECEIVED | ClientID: Sabina | Valid message at logical time 43: guess ill go too
2025/10/29 21:19:06.970191 SERVER | MESSAGE_DELIVERY | ClientID: Sabina | Delivered message to 1 clients at logical time 43
2025/10/29 21:19:06.970350 CLIENT | MESSAGE_RECEIVED | ClientID: Sabina | From Sabina at logical time 43: guess ill go too
2025/10/29 21:19:06.970416 CLIENT | MESSAGE_SENT | ClientID: Sabina | Sent message at logical time 42: guess ill go too
2025/10/29 21:19:08.815018 SERVER | DISCONNECTION | ClientID: Sabina | Client explicitly left at logical time 46
2025/10/29 21:19:08.815534 CLIENT | DISCONNECTION | ClientID: Sabina | Leaving chat
2025/10/29 21:19:08.850586 SERVER | DISCONNECTION | ClientID: Sabina | Client stream closed
